Mehdi	Time			Temp	SetPoint						
PID_out	1047	68,1	0	450	450	100	10	100			
PID_out	1048	68,2	0	450	450	100	10	100			
PID_out	1049	68,3	0	450	450	100	10	100			
PID_out	1050	68,4	0	450	450	100	10	100			
PID_out	1051	68,5	0	450	450	100	10	100			
PID_out	1052	68,6	0	450	450	100	10	100			
PID_out	1053	68,7	0	450	450	100	10	100			
PID_out	1054	68,8	0	450	450	100	10	100			
PID_out	1055	68,9	0	450	450	100	10	100			
PID_out	1056	69	0	450	450	100	10	100			
PID_out	1057	69,1	0	450	450	100	10	100			
PID_out	1058	69,2	0	450	450	100	10	100			
PID_out	1059	69,3	0	450	450	100	10	100			
PID_out	1060	69,4	0	450	450	100	10	100			
PID_out	1061	69,5	0	450	450	100	10	100			
PID_out	1062	69,6	0	450	450	100	10	100			
PID_out	1063	69,7	0	450	450	100	10	100			
PID_out	1064	69,8	0	450	450	100	10	100			
PID_out	1065	69,9	0	450	450	100	10	100			
PID_out	1066	70	0	450	450	100	10	100			
PID_out	1067	70,1	0	450	450	100	10	100			
PID_out	1068	70,2	0	450	450	100	10	100			
PID_out	1069	70,3	0	450	450	100	10	100			
PID_out	1070	70,4	0	450	450	100	10	100			
PID_out	1071	70,5	0	450	450	100	10	100			
PID_out	1072	70,6	0	450	450	100	10	100			
PID_out	1073	70,7	0	450	450	100	10	100			
PID_out	1074	70,8	0	450	450	100	10	100			
PID_out	1075	70,9	0	450	450	100	10	100			
PID_out	1076	71	0	450	450	100	10	100			
PID_out	1077	71,1	0	450	450	100	10	100			
PID_out	1078	71,2	0	450	450	100	10	100			
PID_out	1079	71,3	0	450	450	100	10	100			
PID_out	1080	71,4	0	450	450	100	10	100			
PID_out	1081	71,5	0	450	450	100	10	100			
PID_out	1082	71,6	0	450	450	100	10	100			
